SARS-date	SARS-index	SARS-days	SARS-infected	SARS-dead	SARS-recovered	SARS-deadpercent	SARS-recoeveredpercent	SARS-growthpercent
21/03/2003	1	1	350	10		2.86	0	
22/03/2003	2	2	386	11		2.85	0	10.29
24/03/2003	3	4	456	17		3.73	0	18.13
25/03/2003	4	5	487	17		3.49	0	6.8
26/03/2003	5	6	1323	49		3.7	0	
27/03/2003	6	7	1408	53		3.76	0	6.42
29/03/2003	7	9	1550	54		3.48	0	10.09
31/03/2003	8	11	1622	58		3.58	0	4.65
01/04/2003	9	12	1804	62		3.44	0	11.22
02/04/2003	10	13	2223	78		3.51	0	23.23
03/04/2003	11	14	2270	79		3.48	0	2.11
04/04/2003	12	15	2353	84		3.57	0	3.66
05/04/2003	13	16	2416	89		3.68	0	2.68
07/04/2003	14	18	2601	98		3.77	0	7.66
08/04/2003	15	19	2671	103		3.86	0	2.69
09/04/2003	16	20	2722	106		3.89	0	1.91
10/04/2003	17	21	2781	111	1337	3.99	48.08	2.17
11/04/2003	18	22	2890	116	1373	4.01	47.51	3.92
12/04/2003	19	23	2960	119	1425	4.02	48.14	2.42
14/04/2003	20	25	3169	144	1499	4.54	47.3	7.06
15/04/2003	21	26	3235	154	1515	4.76	46.83	2.08
16/04/2003	22	27	3293	159	1548	4.83	47.01	1.79
17/04/2003	23	28	3389	165	1597	4.87	47.12	2.92
18/04/2003	24	29	3547	182	1749	5.13	49.31	4.66
19/04/2003	25	30	3547	182	1749	5.13	49.31	0
21/04/2003	26	32	3861	217	1873	5.62	48.51	8.85
22/04/2003	27	33	3947	229	1935	5.8	49.02	2.23
23/04/2003	28	34	4288	251	2032	5.85	47.39	8.64
24/04/2003	29	35	4439	263	2117	5.92	47.69	3.52
25/04/2003	30	36	4649	274	2206	5.89	47.45	4.73
26/04/2003	31	37	4836	293	2239	6.06	46.3	4.02
28/04/2003	32	39	5050	321	2342	6.36	46.38	4.43
29/04/2003	33	40	5462	353	2427	6.46	44.43	8.16
30/04/2003	34	41	5663	372	2470	6.57	43.62	3.68
01/05/2003	35	42	5865	391	2563	6.67	43.7	3.57
02/05/2003	36	43	6054	417	2643	6.89	43.66	3.22
03/05/2003	37	44	6234	435	2702	6.98	43.34	2.97
06/05/2003	38	47	6727	478	2826	7.11	42.01	7.91
07/05/2003	39	48	6903	495	2885	7.17	41.79	2.62
08/05/2003	40	49	7053	506	2959	7.17	41.95	2.17
09/05/2003	41	50	7183	514	3023	7.16	42.09	1.84
10/05/2003	42	51	7296	526	3087	7.21	42.31	1.57
12/05/2003	43	53	7447	552	3195	7.41	42.9	2.07
13/05/2003	44	54	7548	573	3298	7.59	43.69	1.36
14/05/2003	45	55	7628	587	3397	7.7	44.53	1.06
15/05/2003	46	56	7699	598	3484	7.77	45.25	0.93
16/05/2003	47	57	7739	611	3590	7.9	46.39	0.52
17/05/2003	48	58	7761	623	3674	8.03	47.34	0.28
19/05/2003	49	60	7864	643	3847	8.18	48.92	1.33
20/05/2003	50	61	7919	662	3984	8.36	50.31	0.7
21/05/2003	51	62	7956	666	4085	8.37	51.34	0.47
22/05/2003	52	63	8046	682	4210	8.48	52.32	1.13
23/05/2003	53	64	8117	689	4326	8.49	53.3	0.88
24/05/2003	54	65	8141	696	4468	8.55	54.88	0.3
26/05/2003	55	67	8202	725	4662	8.84	56.84	0.75
27/05/2003	56	68	8221	735	4787	8.94	58.23	0.23
28/05/2003	57	69	8240	745	4891	9.04	59.36	0.23
29/05/2003	58	70	8295	750	4994	9.04	60.2	0.67
30/05/2003	59	71	8317	754	5129	9.07	61.67	0.27
31/05/2003	60	72	8360	764	5264	9.14	62.97	0.52
02/06/2003	61	74	8398	772	5475	9.19	65.19	0.45
04/06/2003	62	76	8402	772	5746	9.19	68.39	0.05
05/06/2003	63	77	8403	775	5830	9.22	69.38	0.01
06/06/2003	64	78	8404	779	5937	9.27	70.64	0.01
09/06/2003	65	81	8421	784	6280	9.31	74.58	0.2
10/06/2003	66	82	8430	789	6457	9.36	76.6	0.11
11/06/2003	67	83	8435	789	6581	9.35	78.02	0.06
12/06/2003	68	84	8445	790	6670	9.35	78.98	0.12
13/06/2003	69	85	8454	792	6793	9.37	80.35	0.11
16/06/2003	70	88	8460	799	6989	9.44	82.61	0.07
17/06/2003	71	89	8464	799	7091	9.44	83.78	0.05
18/06/2003	72	90	8465	801	7148	9.46	84.44	0.01
19/06/2003	73	91	8462	804	7178	9.5	84.83	0
20/06/2003	74	92	8461	804	7218	9.5	85.31	0
23/06/2003	75	95	8459	805	7324	9.52	86.58	0
24/06/2003	76	96	8458	807	7348	9.54	86.88	0
25/06/2003	77	97	8460	808	7365	9.55	87.06	0.02
26/06/2003	78	98	8456	809	7371	9.57	87.17	0
27/06/2003	79	99	8450	810	7401	9.59	87.59	0
30/06/2003	80	102	8447	811	7417	9.6	87.81	0
01/07/2003	81	103	8445	812	7422	9.62	87.89	0
02/07/2003	82	104	8442	812	7424	9.62	87.94	0
03/07/2003	83	105	8439	812	7427	9.62	88.01	0
04/07/2003	84	106	8439	812	7431	9.62	88.06	0
07/07/2003	85	109	8439	812	7431	9.62	88.06	0
08/07/2003	86	110	8436	812	7433	9.63	88.11	0
09/07/2003	87	111	8436	812	7443	9.63	88.23	0
10/07/2003	88	112	8437	812	7449	9.62	88.29	0.01
11/07/2003	89	113	8437	813	7452	9.64	88.33	0